576 6 163 ; 38 99 45 ; 257 574 119 ; 730 356 79 ; 900 920 162 ; 
43 476 163 ; 782 916 326 ; 58 944 371 ; 579 129 464 ; 8 989 224 ; 
150 233 350 ; 997 11 22 ; 215 196 46 ; 816 37 408 ; 613 839 102 ; 
66 863 450 ; 982 433 57 ; 902 540 215 ; 8 680 353 ; 997 1008 228 ; 
206 674 348 ; 217 469 159 ; 414 431 288 ; 451 36 375 ; 266 854 455 ; 
105 689 269 ; 538 566 35 ; 54 202 233 ; 735 919 108 ; 719 168 392 ; 
370 448 153 ; 839 879 412 ; 246 259 65 ; 282 879 15 ; 113 266 66 ; 
802 267 41 ; 344 334 102 ; 546 360 281 ; 442 264 447 ; 610 176 66 ; 
34 61 418 ; 914 153 296 ; 149 463 427 ; 4 162 209 ; 271 313 200 ; 
538 730 353 ; 873 228 119 ; 209 265 407 ; 473 357 434 ; 649 159 404 ; 
710 681 398 ; 864 549 264 ; 303 232 162 ; 465 162 84 ; 778 374 404 ; 
484 699 79 ; 713 802 230 ; 978 225 95 ; 311 195 56 ; 471 607 425 ; 
128 605 242 ; 678 638 12 ; 910 560 148 ; 48 632 419 ; 422 709 489 ; 
97 32 127 ; 899 918 24 ; 101 629 133 ; 296 549 235 ; 904 942 279 ; 
485 960 182 ; 99 665 214 ; 660 209 172 ; 268 57 335 ; 977 370 411 ; 
1010 437 306 ; 904 989 167 ; 510 206 467 ; 35 402 464 ; 978 909 92 ; 
914 863 460 ; 555 945 114 ; 765 682 169 ; 822 305 289 ; 168 1000 410 ; 
605 70 231 ; 571 262 389 ; 777 329 410 ; 155 497 444 ; 40 961 47 ; 
903 282 293 ; 825 88 276 ; 483 1017 7 ; 788 559 340 ; 764 369 342 ; 
835 132 206 ; 73 906 60 ; 402 536 427 ; 899 676 144 ; 836 851 244 ; 
94 981 208 ; 182 1001 368 ; 176 552 141 ; 735 869 348 ; 80 983 28 ; 
212 242 240 ; 94 106 143 ; 630 541 256 ; 282 729 398 ; 110 49 33 ; 
67 434 106 ; 44 698 428 ; 596 763 263 ; 441 287 483 ; 401 599 26 ; 
643 651 6 ; 749 515 154 ; 266 451 9 ; 995 790 35 ; 21 1003 326 ; 
455 5 132 ; 129 126 395 ; 892 429 95 ; 155 908 91 ; 754 74 373 ; 
381 344 134 ; 896 826 81 ; 324 379 274 ; 90 563 492 ; 69 5 231 ; 
75 581 32 ; 201 200 159 ; 630 887 480 ; 514 122 136 ; 588 823 475 ; 
932 901 229 ; 734 598 139 ; 90 20 199 ; 653 732 315 ; 658 392 441 ; 
215 72 111 ; 415 208 282 ; 278 472 383 ; 400 605 381 ; 200 892 55 ; 
77 910 487 ; 676 285 331 ; 696 556 445 ; 405 128 339 ; 797 813 400 ; 
869 544 454 ; 53 350 133 ; 526 357 388 ; 107 994 110 ; 999 97 95 ; 
885 812 67 ; 146 411 308 ; 703 745 400 ; 831 144 321 ; 620 197 62 ; 
141 907 355 ; 491 809 84 ; 849 101 262 ; 819 696 368 ; 917 667 391 ; 
705 838 306 ; 93 62 196 ; 838 987 50 ; 982 560 69 ; 155 538 420 ; 
39 289 45 ; 848 909 258 ; 949 559 341 ; 621 735 382 ; 264 1018 262 ; 
78 253 183 ; 141 373 336 ; 104 639 53 ; 664 585 131 ; 178 337 410 ; 
467 710 141 ; 352 200 428 ; 912 182 256 ; 623 1012 218 ; 618 614 219 ; 
871 109 412 ; 220 310 10 ; 859 603 323 ; 420 711 455 ; 758 777 375 ; 
444 998 497 ; 645 235 324 ; 827 319 293 ; 815 329 17 ; 406 961 364 ; 
515 833 78 ; 825 783 317 ; 405 875 277 ; 92 46 213 ; 869 906 341 ; 
843 919 287 ; 54 376 392 ; 374 185 469 ; 703 906 360 ; 640 202 299 ; 
449 117 49 ; 209 902 145 ; 60 884 422 ; 106 701 287 ; 1012 938 223 ; 
908 910 140 ; 260 302 180 ; 445 339 418 ; 327 179 168 ; 529 834 148 ; 
646 872 224 ; 525 401 14 ; 385 755 175 ; 62 491 383 ; 1000 318 445 ; 
886 1015 386 ; 164 507 406 ; 503 53 330 ; 682 998 303 ; 493 598 194 ; 
341 838 367 ; 742 504 402 ; 473 379 467 ; 964 314 192 ; 259 356 142 ; 
250 386 158 ; 757 300 29 ; 810 474 349 ; 784 69 89 ; 358 1015 107 ; 
173 442 408 ; 677 516 41 ; 33 91 151 ; 347 51 13 ; 703 73 265 ; 
65 72 484 ; 365 957 162 ; 839 982 275 ; 908 487 298 ; 899 675 398 ; 
318 331 225 ; 834 329 58 ; 926 44 207 ; 977 233 404 ; 27 363 180 ; 
99 751 183 ; 32 366 449 ; 1014 737 86 ; 478 895 278 ; 129 814 326 ; 
460 67 278 ; 789 517 0 ; 834 620 246 ; 43 757 132 ; 406 217 54 ; 
134 380 301 ; 500 609 88 ; 213 180 240 ; 85 590 162 ; 899 884 92 ; 
966 30 137 ; 459 518 262 ; 55 817 451 ; 812 1017 413 ; 5 147 161 ; 
386 328 459 ; 995 608 145 ; 151 920 233 ; 741 199 351 ; 602 979 92 ; 
632 865 411 ; 127 187 181 ; 944 298 312 ; 937 220 11 ; 61 185 36 ; 
389 556 417 ; 998 38 339 ; 894 19 251 ; 69 214 442 ; 25 494 44 ; 
890 649 30 ; 53 746 234 ; 351 278 305 ; 571 890 341 ; 756 266 327 ; 
289 671 464 ; 327 439 405 ; 346 178 91 ; 561 68 262 ; 31 700 79 ; 
681 910 488 ; 403 729 126 ; 682 674 107 ; 548 540 383 ; 814 319 218 ; 
461 159 275 ; 900 388 364 ; 54 592 279 ; 123 666 105 ; 823 809 398 ; 
710 978 398 ; 415 1012 367 ; 65 76 338 ; 605 515 476 ; 924 501 440 ; 
59 220 470 ; 448 228 336 ; 16 563 24 ; 682 221 139 ; 467 439 122 ; 
421 689 369 ; 410 596 411 ; 486 907 334 ; 1001 875 296 ; 478 368 137 ; 
699 674 38 ; 927 418 313 ; 467 39 17 ; 688 738 445 ; 103 536 211 ; 
793 133 43 ; 365 441 280 ; 248 139 402 ; 100 927 164 ; 468 273 301 ; 
118 543 236 ; 537 872 39 ; 576 626 278 ; 290 395 381 ; 826 847 305 ; 
959 742 301 ; 376 34 266 ; 516 761 419 ; 419 949 248 ; 692 91 80 ; 
211 735 60 ; 60 30 454 ; 686 252 451 ; 57 942 279 ; 904 271 373 ; 
622 728 207 ; 657 954 151 ; 394 522 115 ; 319 338 139 ; 410 254 19 ; 
121 638 391 ; 151 116 499 ; 404 132 155 ; 322 723 229 ; 593 581 18 ; 
298 240 383 ; 228 859 69 ; 750 831 358 ; 64 294 300 ; 318 177 264 ; 
956 753 198 ; 49 516 44 ; 181 339 487 ; 904 848 159 ; 461 390 441 ; 
702 837 491 ; 537 883 461 ; 344 561 469 ; 639 634 436 ; 816 2 460 ; 
545 804 271 ; 37 704 131 ; 376 756 496 ; 200 187 317 ; 591 965 374 ; 
404 288 243 ; 263 933 281 ; 825 782 287 ; 435 358 79 ; 437 1023 298 ; 
217 982 463 ; 922 873 316 ; 654 814 6 ; 841 935 38 ; 782 937 143 ; 
46 377 190 ; 979 518 62 ; 738 173 182 ; 72 173 407 ; 71 811 94 ; 
29 218 303 ; 903 171 436 ; 693 161 186 ; 604 527 392 ; 518 70 214 ; 
895 204 444 ; 389 743 75 ; 563 521 418 ; 736 100 296 ; 523 114 497 ; 
742 565 480 ; 913 209 18 ; 50 776 445 ; 577 972 54 ; 648 986 366 ; 
852 759 256 ; 571 578 467 ; 68 352 485 ; 168 865 244 ; 282 426 176 ; 
847 58 283 ; 33 744 177 ; 809 285 378 ; 757 519 188 ; 720 334 498 ; 
455 666 302 ; 9 870 438 ; 361 439 470 ; 202 571 282 ; 628 415 283 ; 
687 782 65 ; 407 868 285 ; 693 842 378 ; 188 867 31 ; 522 445 340 ; 
165 671 316 ; 11 725 459 ; 450 327 492 ; 1021 1022 186 ; 412 861 336 ; 
170 982 145 ; 14 927 240 ; 857 905 343 ; 700 668 400 ; 121 165 465 ; 
792 381 107 ; 493 29 380 ; 821 709 455 ; 819 727 317 ; 656 948 358 ; 
614 773 458 ; 518 261 401 ; 399 156 215 ; 44 745 428 ; 209 498 432 ; 
590 773 373 ; 619 190 257 ; 305 641 319 ; 8 519 232 ; 956 393 131 ; 
705 680 299 ; 966 113 153 ; 99 584 331 ; 844 889 211 ; 318 869 27 ; 
67 971 268 ; 257 840 102 ; 899 179 194 ; 394 339 331 ; 787 294 403 ; 
443 905 248 ; 556 83 361 ; 117 802 484 ; 1006 897 163 ; 851 12 95 ; 
798 360 301 ; 615 275 388 ; 794 809 386 ; 110 624 453 ; 404 447 55 ; 
286 203 254 ; 369 665 10 ; 147 45 222 ; 21 548 107 ; 33 871 297 ; 
394 488 373 ; 669 172 411 ; 454 114 170 ; 54 955 117 ; 501 142 187 ; 
705 117 159 ; 346 535 333 ; 391 485 66 ; 939 553 338 ; 786 602 359 ; 
250 479 8 ; 422 131 406 ; 537 397 303 ; 468 434 97 ; 611 581 119 ; 
728 109 125 ; 239 946 214 ; 724 105 248 ; 253 435 63 ; 856 786 174 ; 
311 146 28 ; 442 925 426 ; 840 324 108 ; 250 178 109 ; 832 85 86 ; 
941 494 93 ; 863 584 237 ; 968 1020 176 ; 379 823 484 ; 141 541 270 ; 
288 21 330 ; 189 775 241 ; 513 928 64 ; 691 593 320 ; 777 727 478 ; 
247 448 22 ; 832 897 315 ; 828 561 191 ; 628 950 419 ; 145 568 487 ; 
167 18 104 ; 942 803 132 ; 846 1007 329 ; 416 3 499 ; 119 274 238 ; 
568 352 19 ; 441 348 171 ; 1003 183 203 ; 929 986 67 ; 473 121 179 ; 
491 422 213 ; 270 1010 48 ; 254 764 110 ; 257 7 9 ; 531 965 57 ; 
884 653 488 ; 208 588 452 ; 391 331 334 ; 353 902 161 ; 475 54 122 ; 
897 375 135 ; 883 863 234 ; 623 245 12 ; 630 474 182 ; 572 95 268 ; 
201 860 99 ; 789 144 347 ; 96 894 179 ; 998 599 138 ; 28 209 496 ; 
403 292 35 ; 242 866 64 ; 488 687 215 ; 962 761 171 ; 34 69 429 ; 
894 933 229 ; 14 632 294 ; 909 540 443 ; 484 838 83 ; 694 466 282 ; 
986 569 70 ; 829 545 162 ; 492 381 104 ; 229 840 360 ; 299 905 439 ; 
208 519 249 ; 840 333 427 ; 356 937 277 ; 171 612 486 ; 637 262 363 ; 
183 965 233 ; 728 23 231 ; 85 347 296 ; 925 136 236 ; 807 887 438 ; 
302 648 21 ; 635 279 233 ; 548 948 125 ; 137 479 378 ; 399 494 333 ; 
340 179 282 ; 363 850 465 ; 711 303 298 ; 847 247 291 ; 710 421 173 ; 
334 894 20 ; 613 551 62 ; 537 25 297 ; 1016 879 170 ; 486 880 263 ; 
665 494 358 ; 492 292 379 ; 795 818 338 ; 18 405 341 ; 440 918 100 ; 
310 190 54 ; 862 788 156 ; 887 998 129 ; 742 732 307 ; 598 603 471 ; 
68 873 42 ; 360 460 399 ; 154 411 331 ; 560 48 282 ; 454 533 489 ; 
645 703 241 ; 409 184 59 ; 383 277 29 ; 91 908 424 ; 694 508 178 ; 
544 594 420 ; 1004 321 285 ; 391 541 441 ; 440 531 336 ; 973 540 260 ; 
652 989 442 ; 836 725 347 ; 90 298 93 ; 998 759 476 ; 482 937 168 ; 
52 690 282 ; 374 511 178 ; 915 692 87 ; 422 4 198 ; 963 900 354 ; 
928 203 7 ; 629 150 64 ; 928 507 32 ; 663 224 190 ; 576 32 197 ; 
242 534 375 ; 753 557 416 ; 422 560 274 ; 426 954 429 ; 303 765 163 ; 
506 524 318 ; 656 936 135 ; 140 137 172 ; 364 451 312 ; 396 740 479 ; 
930 488 204 ; 463 288 406 ; 1023 462 224 ; 954 527 98 ; 695 1014 364 ; 
195 417 135 ; 108 748 353 ; 245 684 218 ; 696 525 174 ; 413 4 198 ; 
901 60 310 ; 165 359 292 ; 627 387 176 ; 130 837 47 ; 120 689 105 ; 
537 845 56 ; 261 482 408 ; 946 776 76 ; 447 186 445 ; 451 984 1 ; 
512 130 146 ; 871 207 107 ; 234 747 300 ; 47 262 499 ; 736 732 485 ; 
557 872 422 ; 16 184 127 ; 792 628 237 ; 979 293 127 ; 939 655 406 ; 
46 405 257 ; 253 33 237 ; 1000 849 252 ; 238 245 378 ; 970 794 65 ; 
819 440 178 ; 1003 624 55 ; 608 45 199 ; 901 412 32 ; 532 202 227 ; 
938 443 334 ; 971 173 164 ; 796 773 157 ; 17 584 193 ; 812 441 468 ; 
228 11 438 ; 852 139 365 ; 897 282 305 ; 285 194 389 ; 487 61 210 ; 
931 868 271 ; 80 696 421 ; 853 778 416 ; 413 835 260 ; 855 107 102 ; 
866 350 278 ; 1005 387 210 ; 264 404 27 ; 458 5 316 ; 520 508 206 ; 
364 519 305 ; 36 444 20 ; 814 316 144 ; 626 984 226 ; 733 646 347 ; 
59 96 222 ; 447 799 233 ; 851 306 82 ; 857 710 322 ; 341 376 485 ; 
860 530 149 ; 280 590 353 ; 596 731 57 ; 556 701 476 ; 179 60 450 ; 
275 275 151 ; 50 332 19 ; 356 370 418 ; 43 673 5 ; 419 410 374 ; 
949 667 31 ; 516 264 99 ; 223 921 203 ; 924 345 55 ; 984 395 472 ; 
235 155 203 ; 567 998 230 ; 938 240 413 ; 587 333 481 ; 997 260 400 ; 
640 527 228 ; 904 631 121 ; 801 1014 101 ; 123 970 164 ; 518 458 36 ; 
673 125 417 ; 647 67 380 ; 887 60 308 ; 197 410 486 ; 457 802 237 ; 
984 590 398 ; 591 304 118 ; 582 533 102 ; 528 986 259 ; 986 314 214 ; 
87 627 121 ; 154 152 482 ; 215 244 114 ; 625 250 489 ; 403 843 114 ; 
994 385 11 ; 274 567 64 ; 807 629 223 ; 769 468 193 ; 60 431 29 ; 
687 912 259 ; 839 18 382 ; 59 796 333 ; 309 414 376 ; 128 228 141 ; 
513 500 232 ; 56 732 26 ; 685 531 200 ; 130 913 4 ; 561 798 101 ; 
449 646 233 ; 467 580 169 ; 240 669 288 ; 654 973 48 ; 882 878 137 ; 
358 163 294 ; 66 441 415 ; 598 994 120 ; 487 306 361 ; 261 387 251 ; 
907 529 152 ; 464 334 241 ; 109 978 149 ; 59 658 341 ; 937 648 307 ; 
76 766 365 ; 518 373 324 ; 488 37 450 ; 794 387 116 ; 157 866 15 ; 
686 883 381 ; 1020 324 120 ; 975 233 320 ; 609 382 166 ; 233 161 329 ; 
999 823 6 ; 349 819 79 ; 386 881 73 ; 773 518 393 ; 616 641 339 ; 
475 2 68 ; 799 271 463 ; 9 1003 395 ; 391 821 302 ; 553 698 84 ; 
352 489 377 ; 147 356 329 ; 4 741 354 ; 522 590 424 ; 140 209 402 ; 
142 1009 38 ; 413 448 485 ; 393 908 188 ; 190 294 297 ; 889 290 301 ; 
354 520 210 ; 710 725 242 ; 427 255 17 ; 1017 171 41 ; 202 861 80 ; 
187 119 0 ; 636 876 182 ; 520 385 100 ; 814 926 425 ; 81 835 323 ; 
601 273 476 ; 302 63 390 ; 557 0 496 ; 728 966 15 ; 566 406 396 ; 
685 1010 274 ; 538 732 422 ; 923 868 302 ; 825 373 162 ; 637 69 452 ; 
910 653 109 ; 974 568 362 ; 974 168 40 ; 916 196 349 ; 298 216 418 ; 
284 439 444 ; 1017 849 169 ; 861 871 79 ; 211 389 214 ; 280 721 224 ; 
933 111 57 ; 477 101 479 ; 646 394 381 ; 842 219 484 ; 34 773 476 ; 
473 869 495 ; 298 627 187 ; 145 922 440 ; 534 93 2 ; 232 89 1 ; 
343 722 409 ; 444 217 202 ; 838 687 476 ; 34 83 22 ; 807 395 412 ; 
653 1006 338 ; 256 878 280 ; 154 742 306 ; 247 444 424 ; 336 357 442 ; 
34 550 18 ; 252 653 57 ; 939 209 126 ; 1022 411 412 ; 393 431 118 ; 
376 485 162 ; 230 1013 339 ; 972 816 467 ; 393 764 181 ; 750 222 197 ; 
277 937 385 ; 930 970 8 ; 115 424 44 ; 526 717 227 ; 957 19 393 ; 
418 129 18 ; 408 892 98 ; 200 887 172 ; 964 13 33 ; 162 410 330 ; 
75 119 268 ; 22 887 405 ; 446 883 295 ; 139 794 414 ; 159 703 136 ; 
288 1006 373 ; 157 660 168 ; 20 545 448 ; 33 378 20 ; 443 604 12 ; 
563 556 218 ; 426 786 158 ; 286 921 36 ; 56 148 34 ; 760 924 66 ; 
742 610 249 ; 378 714 97 ; 923 202 98 ; 277 914 275 ; 881 542 456 ; 
414 332 340 ; 176 198 15 ; 73 86 285 ; 221 421 251 ; 122 895 436 ; 
732 504 436 ; 422 401 418 ; 624 456 332 ; 514 531 352 ; 32 639 213 ; 
364 167 43 ; 563 258 17 ; 649 776 485 ; 46 555 446 ; 941 391 316 ; 
421 987 378 ; 823 277 210 ; 255 970 480 ; 786 538 284 ; 401 383 198 ; 
569 86 30 ; 827 203 54 ; 579 496 429 ; 111 863 339 ; 502 427 21 ; 
466 113 395 ; 743 531 356 ; 689 347 355 ; 203 787 342 ; 587 717 240 ; 
673 679 358 ; 877 1005 387 ; 349 871 490 ; 188 362 158 ; 615 923 289 ; 
728 378 23 ; 235 255 445 ; 582 954 325 ; 345 885 346 ; 38 577 362 ; 
717 671 289 ; 699 310 466 ; 546 777 467 ; 908 799 425 ; 807 932 137 ; 
162 543 273 ; 417 621 209 ; 347 418 157 ; 208 904 299 ; 786 570 421 ; 
433 823 219 ; 744 726 77 ; 497 481 252 ; 272 586 470 ; 180 880 422 ; 
723 765 333 ; 320 354 247 ; 738 179 76 ; 619 587 472 ; 165 316 332 ; 
989 83 398 ; 691 568 28 ; 148 728 108 ; 735 410 333 ; 591 1000 361 ; 
332 350 481 ; 686 885 420 ; 866 814 125 ; 429 66 67 ; 745 550 298 ; 
828 797 180 ; 373 453 353 ; 77 853 284 ; 488 726 440 ; 464 871 303 ; 
814 172 158 ; 676 196 278 ; 466 541 77 ; 532 601 359 ; 58 255 276 ; 
855 75 453 ; 284 884 405 ; 113 336 118 ; 839 961 140 ; 686 272 292 ; 
858 175 496 ; 31 409 87 ; 572 306 163 ; 149 45 153 ; 405 213 177 ; 
480 102 123 ; 341 820 187 ; 677 886 451 ; 614 6 321 ; 887 638 332 ; 
38 711 495 ; 447 574 345 ; 754 89 304 ; 799 70 145 ; 1013 583 286 ; 
91 130 379 ; 911 533 456 ; 774 197 221 ; 780 998 254 ; 395 590 53 ; 
82 869 420 ; 656 983 162 ; 745 103 261 ; 815 820 295 ; 374 663 123 ; 
504 910 372 ; 14 614 495 ; 211 659 251 ; 185 358 109 ; 775 671 209 ; 
621 847 196 ; 580 37 214 ; 683 698 54 ; 480 66 379 ; 119 233 194 ; 
5 389 324 ; 620 636 449 ; 255 771 51 ; 613 656 138 ; 260 298 327 ; 
83 334 302 ; 120 453 411 ; 819 203 351 ; 885 699 427 ; 94 985 431 ; 
483 622 354 ; 95 763 427 ; 867 918 107 ; 499 260 467 ; 797 811 260 ; 
108 89 393 ; 561 1013 284 ; 764 468 449 ; 439 607 296 ; 401 202 177 ; 
1023 940 11 ; 762 660 374 ; 656 999 261 ; 916 570 424 ; 703 755 176 ; 
792 176 225 ; 781 704 417 ; 226 329 170 ; 833 773 39 ; 12 54 50 ; 
952 453 455 ; 588 311 374 ; 564 265 108 ; 110 61 60 ; 865 357 368 ; 
17 427 359 ; 722 604 336 ; 27 319 413 ; 801 798 443 ; 855 692 205 ; 
285 988 129 ; 596 258 273 ; 861 291 214 ; 923 979 262 ; 256 536 236 ; 
683 795 398 ; 264 823 343 ; 583 609 5 ; 357 620 185 ; 25 441 382 ; 
1013 274 69 ; 248 36 314 ; 539 386 491 ; 494 276 212 ; 6 276 51 ; 
802 118 240 ; 601 1002 151 ; 186 559 203 ; 807 144 66 ; 224 530 483 ; 
499 748 5 ; 535 226 86 ; 921 301 102 ; 173 214 365 ; 449 25 232 ; 
568 93 126 ; 546 845 204 ; 81 836 6 ; 226 387 444 ; 756 294 167 ; 
